title,media,date,datetime,desc,link,img
Bingung Pilihan Saham Hari Ini? Saham Ini Berpotensi Cuan...,CNBC Indonesia,"an 18, 2022",,"... PT Telkom Indonesia Tbk (TLKM), PT Bank Jago Tbk (ARTO), hingga PT Bank 
Neo Commerce Tbk (BBYB). Sebelum memulai perdagangan Selasa ini 
(18/1/2022),...",https://www.cnbcindonesia.com/market/20220118080432-17-308172/bingung-pilihan-saham-hari-ini-saham-ini-berpotensi-cuan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Di Balik Lesunya Saham AGRO Usai Rights Issue,Market Bisnis.com,"an 6, 2022",,"PT Telkom Indonesia (Persero) Tbk. (TLKM) melalui anak usahanya 
mengembangkan teknologi transformasi digital.",https://market.bisnis.com/read/20220106/7/1486124/di-balik-lesunya-saham-agro-usai-rights-issue,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Banyak Aksi Boy Thohir, Saham Emitennya Diramal Moncer",Market Bisnis.com,"an 20, 2022",,"PT Telkom Indonesia (Persero) Tbk. (TLKM) melalui anak usahanya 
mengembangkan teknologi transformasi digital. Berita Lainnya loadmore...",https://market.bisnis.com/read/20220120/7/1491513/banyak-aksi-boy-thohir-saham-emitennya-diramal-moncer,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Hap Seng buys land in KL Metropolis for mixed project worth ...,The Edge Markets,"an 3, 2022",,"... Naza TTDI Sdn Bhd's unit TTDI KL Metropolis Sdn Bhd (TLKM), to buy the 
land known as Met 3, Plot 7A, KL Metropolis, measuring 668,212.79 square 
feet.",https://www.theedgemarkets.com/article/hap-seng-buys-land-kl-metropolis-mixed-project-worth-rm87-bil-gdv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Banja Luka bourse's turnover rises in February,SeeNews,2 weeks ago,2022-03-06 12:31:18.559353,"Telekom Srpske [BANJ:TLKM-R-A] contributed the largest portion of total 
trading turnover among the companies on the BLSE in February, of 875,204 
marka.",https://seenews.com/news/banja-luka-bourses-turnover-rises-in-february-775277,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Bosnian share indices end mixed in trading week ended ...,SeeNews,1 week ago,2022-03-13 12:31:18.574356,"Telekom Srpske [BANJ:TLKM-R-A] generated the largest trading turnover, of 
585,214 marka, on the BLSE's official market this week.",https://seenews.com/news/bosnian-share-indices-end-mixed-in-trading-week-ended-march-11-776714,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Bosnian share indices end mostly down in trading week ...,SeeNews,2 weeks ago,2022-03-06 12:31:18.589353,"Telekom Srpske [BANJ:TLKM-R-A] generated the largest trading turnover, of 
522,645 marka, on the BLSE's official market this week.",https://seenews.com/news/bosnian-share-indices-end-mostly-down-in-trading-week-ended-march-4-775810,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Lewat Operasi Sky Net, Xi Jinping Paksa 10.000 Warga yang Kabur ke LN Pulang ke China",Internasional,"an 20, 2022",,"Simak Strategi Telkom Indonesia (TLKM) untuk Tingkatkan Kualitas Jaringan Â· 
Pemerintah Argentina Hentikan Pendaftaran Ekspor Minyak Kedelai.",https://internasional.kontan.co.id/news/lewat-operasi-sky-net-xi-jinping-paksa-10000-warga-yang-kabur-ke-ln-pulang-ke-china,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Bosnia's SASE share indices end mostly down in week ended ...,SeeNews,1 day ago,2022-03-19 12:31:18.607355,"Telekom Srpske [BANJ:TLKM-R-A] generated the largest trading turnover, of 
832,201 marka, on the BLSE's official market this week.",https://seenews.com/news/bosnias-sase-share-indices-end-mostly-down-in-week-ended-mar-18-blse-main-index-up-777635,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Zenlayer Receives C+ Funding from Telkom Indonesia,Business Wire,"an 4, 2022",,"The company is listed on the Indonesia Stock Exchange (IDX: TLKM) and has a 
secondary listing on the New York Stock Exchange (NYSE: TLK).",https://www.businesswire.com/news/home/20220104005162/en/Zenlayer-Receives-C-Funding-from-Telkom-Indonesia,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Germany stocks higher at close of trade; DAX up 0.75% By ...,Investing.com,1 month ago,2022-02-20 12:31:20.021081,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ GOOGL Alphabet Inc Class A Equity - NASDAQ FB Meta 
Platforms Inc...",https://www.investing.com/news/stock-market-news/germany-stocks-higher-at-close-of-trade-dax-up-075-2748017,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Australia stocks lower at close of trade; S&P/ASX 200 down ...,Investing.com,1 month ago,2022-02-20 12:31:20.056082,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/australia-stocks-lower-at-close-of-trade-spasx-200-down-051-2764102,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Japan stocks lower at close of trade; Nikkei 225 down 0.03 ...,Investing.com,"an 7, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/japan-stocks-lower-at-close-of-trade-nikkei-225-down-003-2732942,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Wall Street drops, oil prices jump on Ukraine conflict worries ...",Investing.com,1 month ago,2022-02-20 12:31:20.097077,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/economy/asian-shares-fall-us-treasury-yields-hold-firm-after-us-inflation-data-2761922,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Opening Bell: Global Markets Plummet As Ukraine Tensions ...,Investing.com,1 month ago,2022-02-20 12:31:20.136088,"... Inc Equity - NASDAQ GOOGL Alphabet Inc Class A Equity - NASDAQ TSLA 
Tesla Inc Equity - NASDAQ TLKM Telkom Indonesia (Persero) Tbk PT Equity - 
Jakarta.",https://www.investing.com/analysis/opening-bell-global-markets-plummet-as-ukraine-tensions-soar-gold-usd-advance-200617894,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
ECB's Villeroy: ECB to do what is necessary to bring inflation ...,Investing.com,1 month ago,2022-02-20 12:31:20.174079,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/economy/ecbs-villeroy-ecb-to-do-whatever-it-takes-to-get-inflation-below-2-2745958,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
NZ Dollar Extends Slide: How Low Will It Go?,Investing.com,1 month ago,2022-02-20 12:31:20.207077,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/analysis/nz-dollar-extends-slide-how-low-will-it-go-200616321,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SEC rejects MicroStrategy's Bitcoin accounting practices ...,Investing.com,"an 22, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/cryptocurrency-news/sec-rejects-microstrategys-bitcoin-accounting-practices-report-2745614,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
GSK rejects 50-billion-pound Unilever offer for consumer ...,Investing.com,"an 15, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/unilever-offers-50-billion-pounds-for-gsk-unit-report-2739800,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Tesco says 1,600 jobs at risk from store changes By Reuters",Investing.com,1 month ago,2022-02-20 12:31:20.254083,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/tesco-says-1600-jobs-at-risk-from-store-changes-2754009,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
JPMorgan Stock Is A Lagging Leader,Investing.com,1 month ago,2022-02-20 12:31:21.099851,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/analysis/jpmorgan-stock-is-a-lagging-leader-200616462,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Microsoft employees jump ship for Meta as metaverse talent ...,Investing.com,"an 13, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/cryptocurrency-news/microsoft-employees-jump-ship-for-meta-as-metaverse-talent-hunt-intensifies-2738449,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Bubble Fears for US Tech Stocks Surface in Deutsche Bank ...,Investing.com,"an 18, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/bubble-fears-for-us-tech-stocks-surface-in-deutsche-bank-poll-2741550,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4 NFT Earning Strategies in The Metaverse World By CoinQuora,Investing.com,"an 18, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/cryptocurrency-news/4-nft-earning-strategies-in-the-metaverse-world-2741483,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
