,tanggal,sentimen,param,count_sentimen,nilaisentimen
0,2022-02-21,Sentiment:: Negative :angry:,-1,3,-3
1,2022-02-22,Sentiment:: Positive :smiley:,1,3,3
2,2022-02-23,Sentiment:: Positive :smiley:,1,6,6
3,2022-02-24,Sentiment:: Positive :smiley:,1,3,3
4,2022-03-03,Sentiment:: Positive :smiley:,1,1,1
5,2022-03-05,Sentiment:: Neutral ğŸ˜ ,0,3,0
6,2022-03-08,Sentiment:: Neutral ğŸ˜ ,0,3,0
7,2022-03-08,Sentiment:: Positive :smiley:,1,6,6
8,2022-03-10,Sentiment:: Positive :smiley:,1,3,3
9,2022-03-11,Sentiment:: Positive :smiley:,1,2,2
10,2022-03-12,Sentiment:: Neutral ğŸ˜ ,0,3,0
11,2022-03-13,Sentiment:: Positive :smiley:,1,3,3
12,2022-03-14,Sentiment:: Negative :angry:,-1,3,-3
13,2022-03-16,Sentiment:: Positive :smiley:,1,6,6
14,2022-03-17,Sentiment:: Negative :angry:,-1,1,-1
15,2022-03-17,Sentiment:: Neutral ğŸ˜ ,0,3,0
16,2022-03-17,Sentiment:: Positive :smiley:,1,3,3
17,2022-03-19,Sentiment:: Neutral ğŸ˜ ,0,3,0
18,2022-03-19,Sentiment:: Positive :smiley:,1,4,4
19,2022-03-21,Sentiment:: Neutral ğŸ˜ ,0,9,0
20,2022-03-21,Sentiment:: Positive :smiley:,1,9,9
21,2022-03-22,Sentiment:: Neutral ğŸ˜ ,0,9,0
22,2022-03-22,Sentiment:: Positive :smiley:,1,5,5
